191,09/23/2019,18:08:32,59.1420968866596
192,09/23/2019,18:08:33,55.83098566477926
193,09/23/2019,18:08:34,59.31351408747717
194,09/23/2019,18:08:35,66.56353322763752
195,09/23/2019,18:08:36,61.65556318825473
196,09/23/2019,18:08:37,57.7570305271711
197,09/23/2019,18:08:38,57.667020154521296
198,09/23/2019,18:08:39,60.12528680296719
199,09/23/2019,18:08:40,55.46099083412489
200,09/23/2019,18:08:41,53.4130026185382
201,09/23/2019,18:08:42,56.95078245099646
202,09/23/2019,18:08:43,54.590000752421425
203,09/23/2019,18:08:44,79.21124691344858
204,09/23/2019,18:08:45,56.657055099611995
205,09/23/2019,18:08:46,54.15730983839642
206,09/23/2019,18:08:47,62.210468239140646
207,09/23/2019,18:08:48,62.21555041919281
208,09/23/2019,18:08:49,63.88083090219447
209,09/23/2019,18:08:50,60.57280732824471
210,09/23/2019,18:08:51,61.29692439665752
211,09/23/2019,18:08:52,50.043390415498145
212,09/23/2019,18:08:53,65.59542504881087
213,09/23/2019,18:08:54,64.52585584548079
214,09/23/2019,18:08:55,68.02736509038192
215,09/23/2019,18:08:56,57.92614385726408
216,09/23/2019,18:08:57,55.9255307148832
217,09/23/2019,18:08:58,57.610659442017
218,09/23/2019,18:08:59,66.40008063465098
219,09/23/2019,18:09:00,60.18241505412321
220,09/23/2019,18:09:01,58.072749392681274
221,09/23/2019,18:09:02,56.2314822848779
222,09/23/2019,18:09:03,55.1694672187667
223,09/23/2019,18:09:04,52.875649040552474
224,09/23/2019,18:09:05,48.80403512950923
225,09/23/2019,18:09:06,43.91093092077421
226,09/23/2019,18:09:07,44.738098167966974
227,09/23/2019,18:09:08,45.73500909392857
228,09/23/2019,18:09:09,49.001633055189764
229,09/23/2019,18:09:10,42.43461200249705
230,09/23/2019,18:09:11,53.17286114188487
231,09/23/2019,18:09:12,59.77029998732462
232,09/23/2019,18:09:13,56.11108781795157
233,09/23/2019,18:09:14,56.70556339636751
234,09/23/2019,18:09:15,52.80652922262614
235,09/23/2019,18:09:16,71.64616604902302
236,09/23/2019,18:09:17,60.77376179496591
237,09/23/2019,18:09:18,60.082185140447066
238,09/23/2019,18:09:19,67.58195456478575
239,09/23/2019,18:09:20,57.40393990625351
240,09/23/2019,18:09:21,49.07255932403054
241,09/23/2019,18:09:22,58.85002901491802
242,09/23/2019,18:09:23,54.21434171132871
243,09/23/2019,18:09:24,53.85389049608172
244,09/23/2019,18:09:25,47.80787657777872
245,09/23/2019,18:09:26,58.911425966368036
246,09/23/2019,18:09:27,72.58074831390488
247,09/23/2019,18:09:28,63.615986035044756
248,09/23/2019,18:09:29,64.7609314484658
249,09/23/2019,18:09:30,60.15379783316183
250,09/23/2019,18:09:31,79.92834508489103
251,09/23/2019,18:09:32,73.63476778023029
252,09/23/2019,18:09:33,64.39626630386907
253,09/23/2019,18:09:34,87.55627231447504
254,09/23/2019,18:09:35,88.36191057751718
255,09/23/2019,18:09:36,67.94740233771458
256,09/23/2019,18:09:37,66.0600381884856
257,09/23/2019,18:09:38,57.5261361904795
258,09/23/2019,18:09:39,63.10056636893074
259,09/23/2019,18:09:40,81.57337401511785
260,09/23/2019,18:09:41,95.21762322370392
261,09/23/2019,18:09:42,86.89210314187096
262,09/23/2019,18:09:43,66.58228641487976
263,09/23/2019,18:09:44,56.64951026229451
264,09/23/2019,18:09:45,65.76555867096083
265,09/23/2019,18:09:46,65.7341919707604
266,09/23/2019,18:09:47,55.51257786292179
267,09/23/2019,18:09:48,58.88269349313476
268,09/23/2019,18:09:49,60.18471937617291
269,09/23/2019,18:09:50,57.63201303631121
270,09/23/2019,18:09:51,69.5568953499982
271,09/23/2019,18:09:52,65.64561956133299
272,09/23/2019,18:09:53,67.02954216702716
