,#lat,long,speed,altitude,time
23.49327155,87.31628763,2.470000028610229,12.0,09/23/2019 18:10:13,Bus Stop_1+Busy Road_1+
23.49329378,87.31626829999999,2.450000047683716,10.0,09/23/2019 18:10:14,Bus Stop_1+Busy Road_1+
23.49331658,87.31624589,2.9600000381469727,10.0,09/23/2019 18:10:15,Bus Stop_1+Busy Road_1+
23.49333957,87.31622457,2.380000114440918,11.0,09/23/2019 18:10:16,Bus Stop_1+Busy Road_1+
23.49336158,87.3162073,2.5699999332427983,10.0,09/23/2019 18:10:17,Bus Stop_1+Busy Road_1+
23.49338638,87.31619052,2.700000047683716,9.0,09/23/2019 18:10:18,Bus Stop_1+Busy Road_1+
23.49341188,87.31617275,2.7100000381469727,8.0,09/23/2019 18:10:19,Bus Stop_1+Busy Road_1+
23.49343782,87.31615082,2.9500000476837163,9.0,09/23/2019 18:10:20,Bus Stop_1+Busy Road_1+
23.49346436,87.31612789,2.9200000762939453,10.0,09/23/2019 18:10:21,Bus Stop_1+Busy Road_1+
23.4934925,87.31610431,3.289999961853028,11.0,09/23/2019 18:10:22,Bus Stop_1+Busy Road_1+
23.49352373,87.31607704,3.8199999332427983,13.0,09/23/2019 18:10:23,Bus Stop_1+Busy Road_1+
23.49355802,87.31604722,3.9500000476837163,14.0,09/23/2019 18:10:24,Bus Stop_1+Busy Road_1+
23.49359297,87.31601874,4.0399999618530265,15.0,09/23/2019 18:10:25,Bus Stop_1+Busy Road_1+
23.49362911,87.31599306,3.9800000190734863,14.0,09/23/2019 18:10:26,Bus Stop_1+Busy Road_1+
23.49366526,87.31596816,3.910000085830689,14.0,09/23/2019 18:10:27,Bus Stop_1+Busy Road_1+
23.49370047,87.3159452,3.890000104904175,15.0,09/23/2019 18:10:28,Bus Stop_1+Busy Road_1+
23.493736600000002,87.3159222,4.1599998474121085,13.0,09/23/2019 18:10:29,Bus Stop_1+Busy Road_1+
23.49377412,87.31590017,4.059999942779541,12.0,09/23/2019 18:10:30,Bus Stop_1+Busy Road_1+
23.49381026,87.31588001,3.670000076293945,13.0,09/23/2019 18:10:31,Bus Stop_1+Busy Road_1+
23.49384723,87.31585806,4.239999771118163,13.0,09/23/2019 18:10:32,Bus Stop_1+Busy Road_1+
23.49388548,87.31583494,4.369999885559082,13.0,09/23/2019 18:10:33,Bus Stop_1+Busy Road_1+
23.49392289,87.31580872,4.320000171661377,14.0,09/23/2019 18:10:34,Bus Stop_1+Busy Road_1+
23.49396192,87.31578106,4.800000190734863,14.0,09/23/2019 18:10:35,Bus Stop_1+Busy Road_1+
23.49400449,87.3157548,4.789999961853027,13.0,09/23/2019 18:10:36,Bus Stop_1+Busy Road_1+
23.49404832,87.31573066,4.75,14.0,09/23/2019 18:10:37,Bus Stop_1+Busy Road_1+
23.49409292,87.31570929,4.849999904632568,15.0,09/23/2019 18:10:38,Bus Stop_1+Busy Road_1+
23.49416009,87.31568817,5.099999904632568,15.0,09/23/2019 18:10:39,Bus Stop_1+Busy Road_1+
23.49421147,87.31564914,5.559999942779541,14.0,09/23/2019 18:10:40,Bus Stop_1+Busy Road_1+
23.49426789,87.31562839,5.789999961853027,14.0,09/23/2019 18:10:41,Bus Stop_1+Busy Road_1+
23.494325600000003,87.31558479,6.300000190734862,14.0,09/23/2019 18:10:42,Bus Stop_1+Busy Road_1+
23.49434431,87.31553943,5.639999866485597,13.0,09/23/2019 18:10:43,Bus Stop_1+Busy Road_1+
23.49437781,87.3154818,5.869999885559082,11.0,09/23/2019 18:10:44,Bus Stop_1+Busy Road_1+
23.49443469,87.31547037,5.309999942779541,11.0,09/23/2019 18:10:45,Bus Stop_1+Busy Road_1+
23.49448467,87.31543558,5.949999809265138,11.0,09/23/2019 18:10:46,Bus Stop_1+Busy Road_1+
23.49454704,87.31540049,6.170000076293945,11.0,09/23/2019 18:10:47,Bus Stop_1+Busy Road_1+
23.49460351,87.31537485,5.8400001525878915,11.0,09/23/2019 18:10:48,Bus Stop_1+Busy Road_1+
23.49467349,87.31534815,6.4000000953674325,11.0,09/23/2019 18:10:49,Bus Stop_1+Busy Road_1+
23.49473383,87.31531969,6.539999961853027,11.0,09/23/2019 18:10:50,Bus Stop_1+Busy Road_1+
23.49580932,87.31459823,6.119999885559082,24.0,09/23/2019 18:11:07,Busy Road_1+
23.49579741,87.31455438,5.800000190734862,27.0,09/23/2019 18:11:08,
23.49581997,87.3145005,6.6500000953674325,26.0,09/23/2019 18:11:09,
23.49584557,87.31451389,6.070000171661378,22.0,09/23/2019 18:11:10,
23.49587923,87.31449801,6.110000133514403,18.0,09/23/2019 18:11:11,
23.49590276,87.31447206,5.730000019073486,17.0,09/23/2019 18:11:12,
23.4959337,87.31444493,5.610000133514403,13.0,09/23/2019 18:11:13,
23.49596437,87.31439418,5.53000020980835,13.0,09/23/2019 18:11:14,
23.49598295,87.31433882,5.730000019073486,14.0,09/23/2019 18:11:15,
23.49601398,87.31427578,5.920000076293945,17.0,09/23/2019 18:11:16,
23.49603705,87.31423687,5.610000133514403,21.0,09/23/2019 18:11:17,
23.49606155,87.31419501,5.699999809265138,22.0,09/23/2019 18:11:18,
23.49609037,87.31414746,5.789999961853027,22.0,09/23/2019 18:11:19,
23.496118300000003,87.31410334,5.8499999046325675,23.0,09/23/2019 18:11:20,
23.49615255,87.31405186,6.079999923706055,24.0,09/23/2019 18:11:21,
23.49619769,87.31403192,5.949999809265138,22.0,09/23/2019 18:11:22,
23.49622866,87.31400194,5.110000133514403,22.0,09/23/2019 18:11:23,
23.49624161,87.31395004,5.150000095367432,22.0,09/23/2019 18:11:24,
23.49625414,87.31389567,5.150000095367432,22.0,09/23/2019 18:11:25,
23.49628795,87.31386405,5.28000020980835,23.0,09/23/2019 18:11:26,
23.49628965,87.3138196,4.570000171661377,22.0,09/23/2019 18:11:27,
23.49629999,87.31379156,4.130000114440918,22.0,09/23/2019 18:11:28,
23.49632425,87.31375757,3.920000076293945,22.0,09/23/2019 18:11:29,
23.49634455,87.31372597,3.539999961853028,21.0,09/23/2019 18:11:30,
23.496352899999998,87.31372434,2.2699999809265137,21.0,09/23/2019 18:11:31,
23.49636032,87.31371749,1.8400000333786009,21.0,09/23/2019 18:11:32,
23.49636275,87.31371897,1.190000057220459,21.0,09/23/2019 18:11:33,
23.49637248,87.31371016,0.8399999737739563,21.0,09/23/2019 18:11:34,
23.49638535,87.3136992,0.3700000047683716,21.0,09/23/2019 18:11:35,Bus Stop_2+
23.49638663,87.31369543,0.20000000298023224,20.0,09/23/2019 18:11:36,Bus Stop_2+
23.49639083,87.31369208,0.0,19.0,09/23/2019 18:11:37,Bus Stop_2+
23.49638966,87.31368777,0.0,19.0,09/23/2019 18:11:38,
23.49639686,87.31367493,1.1100000143051147,20.0,09/23/2019 18:11:39,
23.4963987,87.31365599,0.9300000071525574,22.0,09/23/2019 18:11:40,
23.49640697,87.31364803,0.7699999809265137,23.0,09/23/2019 18:11:41,
23.49640543,87.31364605,0.7099999785423279,21.0,09/23/2019 18:11:42,
23.49640497,87.31363906,0.6499999761581421,21.0,09/23/2019 18:11:43,
23.49641925,87.31362289,2.25,21.0,09/23/2019 18:11:44,
23.49643244,87.31358915,3.0199999809265137,20.0,09/23/2019 18:11:45,
23.49645316,87.31356393,3.1800000667572017,20.0,09/23/2019 18:11:46,
23.49647009,87.31353998,3.059999942779541,21.0,09/23/2019 18:11:47,
23.49648458,87.31351525,3.1600000858306885,21.0,09/23/2019 18:11:48,
23.49650897,87.31347727,3.7799999713897705,21.0,09/23/2019 18:11:49,
23.49652993,87.31342954,4.53000020980835,21.0,09/23/2019 18:11:50,
23.49655231,87.31339065,4.940000057220459,20.0,09/23/2019 18:11:51,
23.49657505,87.31335824,5.269999980926514,19.0,09/23/2019 18:11:52,
23.49660088,87.31329937,5.769999980926514,20.0,09/23/2019 18:11:53,
23.49663131,87.31326281,5.210000038146973,19.0,09/23/2019 18:11:54,
23.49665748,87.31321466,5.239999771118164,19.0,09/23/2019 18:11:55,
23.49667992,87.31316843,5.739999771118164,19.0,09/23/2019 18:11:56,
