,0,1,2,3
138,70:4f:57:6e:b7:3f,TP-Link_B73D_5G,-93,09/23/2019 18:05:44
139,bc:2f:3d:cf:32:4b,Juneka,-90,09/23/2019 18:05:44
140,64:d1:54:2d:d3:35,Haldiya Steels,-84,09/23/2019 18:05:46
141,90:f0:52:76:03:6f,meizu C9,-87,09/23/2019 18:05:46
142,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-87,09/23/2019 18:05:46
143,58:d5:6e:6d:98:10,N Pal lottery,-71,09/23/2019 18:05:46
144,10:62:eb:28:db:f9,SBSTC BUS STAND,-83,09/23/2019 18:05:46
145,64:db:43:33:57:a4,Lenovo VIBE K5,-86,09/23/2019 18:05:46
146,50:8f:4c:99:3d:4d,ashis,-93,09/23/2019 18:05:46
147,70:df:2f:b0:47:40,RailWire Wi-Fi,-81,09/23/2019 18:05:46
148,70:4f:57:6e:b7:3f,TP-Link_B73D_5G,-93,09/23/2019 18:05:46
149,bc:2f:3d:cf:32:4b,Juneka,-94,09/23/2019 18:05:46
150,70:4f:57:6e:b7:3d,TP-Link_B73D,-86,09/23/2019 18:05:46
151,64:d1:54:2d:d3:35,Haldiya Steels,-84,09/23/2019 18:05:47
152,90:f0:52:76:03:6f,meizu C9,-91,09/23/2019 18:05:47
153,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-87,09/23/2019 18:05:47
154,58:d5:6e:6d:98:10,N Pal lottery,-71,09/23/2019 18:05:47
155,10:62:eb:28:db:f9,SBSTC BUS STAND,-79,09/23/2019 18:05:47
156,64:db:43:33:57:a4,Lenovo VIBE K5,-88,09/23/2019 18:05:47
157,50:8f:4c:99:3d:4d,ashis,-91,09/23/2019 18:05:47
158,70:df:2f:b0:47:40,RailWire Wi-Fi,-81,09/23/2019 18:05:47
159,bc:2f:3d:cf:32:4b,Juneka,-94,09/23/2019 18:05:47
160,70:4f:57:6e:b7:3d,TP-Link_B73D,-86,09/23/2019 18:05:47
161,64:d1:54:2d:d3:35,Haldiya Steels,-83,09/23/2019 18:05:49
162,90:f0:52:76:03:6f,meizu C9,-91,09/23/2019 18:05:49
163,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-87,09/23/2019 18:05:49
164,58:d5:6e:6d:98:10,N Pal lottery,-72,09/23/2019 18:05:49
165,10:62:eb:28:db:f9,SBSTC BUS STAND,-80,09/23/2019 18:05:49
166,64:db:43:33:57:a4,Lenovo VIBE K5,-84,09/23/2019 18:05:49
167,50:8f:4c:99:3d:4d,ashis,-91,09/23/2019 18:05:49
168,70:df:2f:b0:47:40,RailWire Wi-Fi,-81,09/23/2019 18:05:49
169,bc:2f:3d:cf:32:4b,Juneka,-94,09/23/2019 18:05:49
170,70:4f:57:6e:b7:3d,TP-Link_B73D,-86,09/23/2019 18:05:49
171,a8:6b:ad:96:e7:17,JioFi3_96E717,-92,09/23/2019 18:05:49
172,64:d1:54:2d:d3:35,Haldiya Steels,-83,09/23/2019 18:05:50
173,90:f0:52:76:03:6f,meizu C9,-91,09/23/2019 18:05:50
174,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-87,09/23/2019 18:05:50
175,58:d5:6e:6d:98:10,N Pal lottery,-72,09/23/2019 18:05:50
176,10:62:eb:28:db:f9,SBSTC BUS STAND,-80,09/23/2019 18:05:50
177,64:db:43:33:57:a4,Lenovo VIBE K5,-84,09/23/2019 18:05:50
178,50:8f:4c:99:3d:4d,ashis,-91,09/23/2019 18:05:50
179,70:df:2f:b0:47:40,RailWire Wi-Fi,-81,09/23/2019 18:05:50
180,bc:2f:3d:cf:32:4b,Juneka,-94,09/23/2019 18:05:50
181,70:4f:57:6e:b7:3d,TP-Link_B73D,-86,09/23/2019 18:05:50
182,a8:6b:ad:96:e7:17,JioFi3_96E717,-92,09/23/2019 18:05:50
183,64:d1:54:2d:d3:35,Haldiya Steels,-83,09/23/2019 18:05:51
184,90:f0:52:76:03:6f,meizu C9,-91,09/23/2019 18:05:51
185,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-85,09/23/2019 18:05:51
186,58:d5:6e:6d:98:10,N Pal lottery,-73,09/23/2019 18:05:51
187,10:62:eb:28:db:f9,SBSTC BUS STAND,-87,09/23/2019 18:05:51
188,64:db:43:33:57:a4,Lenovo VIBE K5,-85,09/23/2019 18:05:51
189,50:8f:4c:99:3d:4d,ashis,-91,09/23/2019 18:05:51
190,70:df:2f:b0:47:40,RailWire Wi-Fi,-79,09/23/2019 18:05:51
191,bc:2f:3d:cf:32:4b,Juneka,-94,09/23/2019 18:05:51
192,70:4f:57:6e:b7:3d,TP-Link_B73D,-94,09/23/2019 18:05:51
193,a8:6b:ad:96:e7:17,JioFi3_96E717,-91,09/23/2019 18:05:51
194,64:d1:54:2d:d3:35,Haldiya Steels,-80,09/23/2019 18:05:53
195,90:f0:52:76:03:6f,meizu C9,-91,09/23/2019 18:05:53
196,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-85,09/23/2019 18:05:53
197,58:d5:6e:6d:98:10,N Pal lottery,-73,09/23/2019 18:05:53
198,10:62:eb:28:db:f9,SBSTC BUS STAND,-87,09/23/2019 18:05:53
199,64:db:43:33:57:a4,Lenovo VIBE K5,-83,09/23/2019 18:05:53
